img,cls,split
NORMAL-7934335-12.jpeg,NORMAL,train
NORMAL-6137467-7.jpeg,NORMAL,train
NORMAL-7820612-4.jpeg,NORMAL,train
NORMAL-5572449-17.jpeg,NORMAL,train
NORMAL-3608921-6.jpeg,NORMAL,train
NORMAL-7591008-13.jpeg,NORMAL,train
NORMAL-8838274-9.jpeg,NORMAL,train
NORMAL-3734032-5.jpeg,NORMAL,train
NORMAL-9664908-11.jpeg,NORMAL,train
NORMAL-7154571-15.jpeg,NORMAL,train
NORMAL-5956057-6.jpeg,NORMAL,train
NORMAL-7655966-10.jpeg,NORMAL,train
NORMAL-4933424-9.jpeg,NORMAL,train
NORMAL-6701688-7.jpeg,NORMAL,train
NORMAL-4449220-39.jpeg,NORMAL,train
NORMAL-7683197-24.jpeg,NORMAL,train
NORMAL-1365390-16.jpeg,NORMAL,train
NORMAL-7939555-20.jpeg,NORMAL,train
NORMAL-7780589-13.jpeg,NORMAL,train
NORMAL-2506710-5.jpeg,NORMAL,train
NORMAL-5497516-6.jpeg,NORMAL,train
NORMAL-3694860-6.jpeg,NORMAL,train
NORMAL-1577192-2.jpeg,NORMAL,train
NORMAL-5643264-13.jpeg,NORMAL,train
NORMAL-7772609-6.jpeg,NORMAL,train
NORMAL-4591890-6.jpeg,NORMAL,train
NORMAL-1649492-16.jpeg,NORMAL,train
NORMAL-5768195-64.jpeg,NORMAL,train
NORMAL-9203192-1.jpeg,NORMAL,train
NORMAL-3488701-34.jpeg,NORMAL,train
NORMAL-9785319-9.jpeg,NORMAL,train
NORMAL-6312471-8.jpeg,NORMAL,train
NORMAL-2182640-14.jpeg,NORMAL,train
NORMAL-349021-12.jpeg,NORMAL,train
NORMAL-8028852-6.jpeg,NORMAL,train
NORMAL-9852643-27.jpeg,NORMAL,train
NORMAL-9874675-16.jpeg,NORMAL,train
NORMAL-5811118-27.jpeg,NORMAL,train
NORMAL-450532-9.jpeg,NORMAL,train
NORMAL-5680594-4.jpeg,NORMAL,train
NORMAL-9244847-14.jpeg,NORMAL,train
NORMAL-7583397-2.jpeg,NORMAL,train
NORMAL-3740639-21.jpeg,NORMAL,train
NORMAL-4020729-33.jpeg,NORMAL,train
NORMAL-6269668-14.jpeg,NORMAL,train
NORMAL-9285606-21.jpeg,NORMAL,train
NORMAL-1476111-2.jpeg,NORMAL,train
NORMAL-6624615-27.jpeg,NORMAL,train
NORMAL-3220509-12.jpeg,NORMAL,train
NORMAL-2842495-9.jpeg,NORMAL,train
NORMAL-9026878-12.jpeg,NORMAL,train
NORMAL-3973200-25.jpeg,NORMAL,train
NORMAL-6673988-5.jpeg,NORMAL,train
NORMAL-3213586-4.jpeg,NORMAL,train
NORMAL-9007580-9.jpeg,NORMAL,train
NORMAL-4665128-14.jpeg,NORMAL,train
NORMAL-7736035-24.jpeg,NORMAL,train
NORMAL-9396787-7.jpeg,NORMAL,train
NORMAL-3757443-54.jpeg,NORMAL,train
NORMAL-1908313-21.jpeg,NORMAL,train
NORMAL-2544436-1.jpeg,NORMAL,train
NORMAL-7961063-9.jpeg,NORMAL,train
NORMAL-917949-4.jpeg,NORMAL,train
NORMAL-7951519-30.jpeg,NORMAL,train
NORMAL-4284456-18.jpeg,NORMAL,train
NORMAL-6027600-3.jpeg,NORMAL,train
NORMAL-882500-12.jpeg,NORMAL,train
NORMAL-4528138-10.jpeg,NORMAL,train
NORMAL-6323199-3.jpeg,NORMAL,train
NORMAL-4143833-10.jpeg,NORMAL,train
NORMAL-832207-3.jpeg,NORMAL,train
NORMAL-8032962-12.jpeg,NORMAL,train
NORMAL-9015861-8.jpeg,NORMAL,train
NORMAL-4950173-8.jpeg,NORMAL,train
NORMAL-2712807-58.jpeg,NORMAL,train
NORMAL-5412340-31.jpeg,NORMAL,train
NORMAL-9122396-16.jpeg,NORMAL,train
NORMAL-5024200-7.jpeg,NORMAL,train
NORMAL-7792808-13.jpeg,NORMAL,train
NORMAL-3170945-40.jpeg,NORMAL,train
NORMAL-7843891-12.jpeg,NORMAL,train
NORMAL-6305107-7.jpeg,NORMAL,train
NORMAL-3637866-10.jpeg,NORMAL,train
NORMAL-3524531-1.jpeg,NORMAL,train
NORMAL-3724972-3.jpeg,NORMAL,train
NORMAL-3800378-26.jpeg,NORMAL,train
NORMAL-9453329-6.jpeg,NORMAL,train
NORMAL-9812420-2.jpeg,NORMAL,train
NORMAL-3607157-4.jpeg,NORMAL,train
NORMAL-3484517-5.jpeg,NORMAL,train
NORMAL-8623103-4.jpeg,NORMAL,train
NORMAL-9321707-8.jpeg,NORMAL,train
NORMAL-4999245-2.jpeg,NORMAL,train
NORMAL-2656751-6.jpeg,NORMAL,train
NORMAL-1538653-2.jpeg,NORMAL,train
NORMAL-2365981-3.jpeg,NORMAL,train
NORMAL-5714726-8.jpeg,NORMAL,train
NORMAL-6226511-5.jpeg,NORMAL,train
NORMAL-8615870-5.jpeg,NORMAL,train
NORMAL-8181793-8.jpeg,NORMAL,train
NORMAL-4023248-9.jpeg,NORMAL,train
NORMAL-5821915-9.jpeg,NORMAL,train
NORMAL-474094-2.jpeg,NORMAL,train
NORMAL-3380901-10.jpeg,NORMAL,train
NORMAL-3671444-1.jpeg,NORMAL,train
NORMAL-3890631-6.jpeg,NORMAL,train
NORMAL-69123-1.jpeg,NORMAL,train
NORMAL-3757443-21.jpeg,NORMAL,train
NORMAL-1688686-3.jpeg,NORMAL,train
NORMAL-7136931-9.jpeg,NORMAL,train
NORMAL-9622069-9.jpeg,NORMAL,train
