img,cls,split
NORMAL136.jpeg,NORMAL,train
NORMAL56.jpeg,NORMAL,train
NORMAL201.jpeg,NORMAL,train
NORMAL30.jpeg,NORMAL,train
NORMAL153.jpeg,NORMAL,train
NORMAL69.jpeg,NORMAL,train
NORMAL50.jpeg,NORMAL,train
NORMAL189.jpeg,NORMAL,train
NORMAL74.jpeg,NORMAL,train
NORMAL22.jpeg,NORMAL,train
NORMAL6.jpeg,NORMAL,train
NORMAL67.jpeg,NORMAL,train
NORMAL122.jpeg,NORMAL,train
NORMAL127.jpeg,NORMAL,train
NORMAL68.jpeg,NORMAL,train
NORMAL157.jpeg,NORMAL,train
NORMAL53.jpeg,NORMAL,train
NORMAL135.jpeg,NORMAL,train
NORMAL145.jpeg,NORMAL,train
NORMAL21.jpeg,NORMAL,train
NORMAL11.jpeg,NORMAL,train
NORMAL146.jpeg,NORMAL,train
NORMAL121.jpeg,NORMAL,train
NORMAL51.jpeg,NORMAL,train
NORMAL194.jpeg,NORMAL,train
NORMAL84.jpeg,NORMAL,train
NORMAL110.jpeg,NORMAL,train
NORMAL35.jpeg,NORMAL,train
NORMAL138.jpeg,NORMAL,train
NORMAL57.jpeg,NORMAL,train
NORMAL70.jpeg,NORMAL,train
NORMAL91.jpeg,NORMAL,train
NORMAL185.jpeg,NORMAL,train
NORMAL18.jpeg,NORMAL,train
NORMAL97.jpeg,NORMAL,train
NORMAL204.jpeg,NORMAL,train
NORMAL170.jpeg,NORMAL,train
NORMAL130.jpeg,NORMAL,train
NORMAL199.jpeg,NORMAL,train
NORMAL12.jpeg,NORMAL,train
NORMAL63.jpeg,NORMAL,train
NORMAL41.jpeg,NORMAL,train
NORMAL154.jpeg,NORMAL,train
NORMAL179.jpeg,NORMAL,train
NORMAL1.jpeg,NORMAL,train
NORMAL118.jpeg,NORMAL,train
NORMAL94.jpeg,NORMAL,train
NORMAL205.jpeg,NORMAL,train
NORMAL86.jpeg,NORMAL,train
NORMAL38.jpeg,NORMAL,train
NORMAL198.jpeg,NORMAL,train
NORMAL43.jpeg,NORMAL,train
NORMAL197.jpeg,NORMAL,train
NORMAL183.jpeg,NORMAL,train
NORMAL116.jpeg,NORMAL,train
NORMAL141.jpeg,NORMAL,train
NORMAL25.jpeg,NORMAL,train
NORMAL104.jpeg,NORMAL,train
NORMAL182.jpeg,NORMAL,train
NORMAL19.jpeg,NORMAL,train
NORMAL161.jpeg,NORMAL,train
CSR78.jpeg,CSR,train
CSR16.jpeg,CSR,train
CSR34.jpeg,CSR,train
CSR86.jpeg,CSR,train
CSR43.jpeg,CSR,train
CSR48.jpeg,CSR,train
CSR46.jpeg,CSR,train
CSR12.jpeg,CSR,train
CSR79.jpeg,CSR,train
CSR82.jpeg,CSR,train
CSR13.jpeg,CSR,train
CSR8.jpeg,CSR,train
CSR73.jpeg,CSR,train
CSR15.jpeg,CSR,train
CSR99.jpeg,CSR,train
CSR52.jpeg,CSR,train
CSR3.jpeg,CSR,train
CSR4.jpeg,CSR,train
CSR101.jpeg,CSR,train
CSR75.jpeg,CSR,train
CSR47.jpeg,CSR,train
CSR36.jpeg,CSR,train
CSR67.jpeg,CSR,train
CSR21.jpeg,CSR,train
CSR53.jpeg,CSR,train
CSR5.jpeg,CSR,train
AMRD5.jpeg,AMD,train
AMRD20.jpeg,AMD,train
AMRD41.jpeg,AMD,train
AMRD35.jpeg,AMD,train
AMRD6.jpeg,AMD,train
AMRD47.jpeg,AMD,train
AMRD13.jpeg,AMD,train
AMRD52.jpeg,AMD,train
AMRD39.jpeg,AMD,train
AMRD34.jpeg,AMD,train
AMRD17.jpeg,AMD,train
AMRD22.jpeg,AMD,train
AMRD46.jpeg,AMD,train
AMRD7.jpeg,AMD,train
AMRD10.jpeg,AMD,train
AMRD40.jpeg,AMD,train
